circRNA,miRNA,label,used
hsa_circ_0006990,mir-101-3p,1,True
hsa_circ_0067835,mir-1236-3p,1,True
circtrim33-12,mir-191,1,True
circrunx2,has-mir-203,1,True
hsa_circ_0036877,mir-181a-5p,0,True
hsa_circrna_104310,mir-216a-3p,1,True
hsa_circ_0043278,mir-203a-3p,1,True
hsa_circ_0000977,mir-153,1,True
hsa_circ_0092012,mir-486-3p,1,True
circctdp1,mir-29a-3p,1,True
hsa_circ_103809,mir-620,1,True
hsa_circ_0000615,mir-184,1,True
hsa_circ_0071410,mir-9-5p,1,True
hsa_circ_0006427,mir-5692,0,True
circ2174,mir-149,1,True
hsa_circ_0017247,mir-145,1,True
hsa_circ_0091579,mir-490-3p,1,True
hsa_circrna_100933,mir-1298-3p,1,True
hsa_circ_0039411,mir-136-5p,1,True
circabcc2,mir-665,1,True
hsa_circrna_406557,mir-145-3p,1,True
hsa_circ_0046264,mir-1245,1,True
circ-prmt5,mir-135b-3p,0,True
hsa_circ_0008450,mir-548p,1,True
cznf292,mir-1258,0,True
hsa_circ_0030235,mir-1253,1,True
hsa_circ_001895,mir-296-5p,1,True
circ_sdha,mir-23b,0,True
hsa_circ_0013958,mir-134,1,True
circpvt1,mir-125b,1,True
hsa_circ_000926,mir-411,1,True
hsa_circ_0055625,mir-488-3p,0,True
hsa_circ_0030569,mir-135a-5p,0,True
circ-pax2,mir-186,1,True
circmylk,mir-558,0,True
hsa_circ_009755,mir-6079,1,True
hsa_circ_0008365,mir-375,1,True
circnfix,mir-34a-5p,1,True
circzfr,mir-3619-5p,1,True
hsa_circ_0003258,mir-502-5p,1,True
hsa_circ_0031288,mir-139-3p,1,True
hsa_circrna_100192,mir-98-5p,0,True
hsa_circ_0007059,mir-378,1,True
hsa_circrna_046843,mir-4524a-5p,1,True
hsa_circ_0018069,mir-23c,1,True
circ2174,mir-382-5p,0,True
circ-dcaf6,mir-1256,1,True
hsa_circ_0075828,mir-1224-5p,1,True
hsa_circ_0067997,mir-515-5p,1,True
circanks1b,mir-1207-5p,0,True
hsa_circ_0092374,mir-513b-5p,0,True
circrhot1,mir-125a,1,True
hsa_circ_0054345,mir-9-5p,1,True
hsa_circ_001783,mir-200c-3p,1,True
hsa_circ_0064996,mir-378,0,True
circbirc6,mir-145,1,True
hsa_circ_0012673,mir-22,1,True
hsa_circ_0004277,hsa-mir-571,1,True
circzfr,mir-1261,1,True
hsa_circ_0001178,mir-382,1,True
circptpra,mir-96-5p,1,True
circrna-chr19,mir-30b-3p,1,True
hsa_circ_0002052,mir-382,1,True
circamotl1l,mir-193a-5p,1,True
hsa_circ_0000673,mir-767-3p,1,True
circprrc2a,mir-514a-5p,1,True
hsa_circ_0015756,mir-1250-3p,1,True
circ-zeb1.33,mir-122,0,True
circrna.20159,mir-326-5p,0,True
circrna_0084043,mir-153-3p,1,True
circlpar1,mir-762,1,True
hsa_circ_0002346,mir-93,1,True
hsa_circ_0043949,mir-140-3p,1,True
circacap2,mir-205-3p,0,True
circmyo9b,mir-4316,1,True
hsa-circrna-102685,hsa-mir-182-5p,1,True
hsa_circ_000361,mir-326-5p,0,True
hsa_circ_0009362,mir-193a-3p,0,True
circrbm23,mir-138,1,True
hsa_circ_0002768,mir-29a,1,True
hsa_circ_0058092,mir-4269,1,True
hsa_circ_0007385,mir-96-5p,0,True
circ-cdc45,mir-527,1,True
circgfra1,mir-449a,1,True
hsa_circ_000361,hsa-mir-146b-5p,0,True
hsa_circrna_104871,mir-140,0,True
circmmp9,mir-1265,1,True
hsa_circrna_001654,mir-520a-5p,1,True
circ-scarb1,mir-510-5p,1,True
hsa_circrna_102116,mir-518f-3p,1,True
hsa_circ_0068942,mir-101-3p,0,True
hsa_circ_0070269,mir-182,1,True
hsa_circ_0004277,hsa-mir-30c-1-3p,1,True
hsa_circ_0025039,mir-198,1,True
circ-eif4g3,mir-335,1,True
hsa_circ_0018069,mir-3666,1,True
circp4hb,mir-133a-5p,1,True
hsa_circ_0087537,mir-876-5p,0,True
hsa_circ_0026143,mir-93-5p,0,True
circdlgap4,mir-143,1,True
hsa_circ_0001955,mir-466i-5p,0,True
hsa_circ_0137439,mir-5193,0,True
circvangl1,mir-195,1,True
circankrd36,hsa-mir-501-5p,1,True
hsa_circ_0006916,mir-522-3p,1,True
hsa_circ_0047688,mir-125a-3p,1,True
hsa_circ_0004712,mir-323a-5p,1,True
hsa_circrna_000479,mir-4753,1,True
hsa_circ_0001821,mir-30b-3p,0,True
circrhobtb3,mir-148b-3p,0,True
cdr1as,mir-1299,1,True
hsa_circ_0001429,mir-205-5p,1,True
hsa_circrna_0007334,mir-577,1,True
hsa_circ_100290,mir-203,1,True
circrna_000284,mir-506,1,True
hsa_circ_0004712,mir-455-3p,1,True
hsa_circ_0092306,mir-197-3p,1,True
circ-rad23b,mir-525-5p,0,True
circ-postn,mir-1205,1,True
circibtk,mir-29b,1,True
circ-cdyl,mir-150-5p,1,True
hsa_circ_0000467,mir-326-3p,1,True
hsa_circ_002136,mir-138-5p,1,True
circ_sdha,mir-346,0,True
circ-itch,mir-10a,1,True
circdock1,mir-743b-5,0,True
hsa_circrna_103809,mir-4302,1,True
hsa_circ_0000799,mir-539-5p,0,True
circitga7,mir-214-5p,0,True
hsa_circ_0004771,mir-339-5p,1,True
hsa_circ_0004277,hsa-mir-138-5p,1,True
circrna-acap2,mir-654,0,True
hsa_circ_0001649,mir-127-5p,1,True
hsa_circ_0008225,mir-4493,0,True
hsa_circ_0091702,mir-200c,1,True
hsa_circrna_102336,mir-548g,0,True
hsa_circ_0007534,mir-892b,1,True
hsa_circ_0071410,mir-125a,0,True
cir-ccdc66,mir-488-3p,1,True
hsa_circ_0000337,mir-670-5p,1,True
circfoxo3,fak,1,True
hsa_circ_0020397,mir-138,1,True
circshkbp1,mir-544a,1,True
circrapgef5,mir-125b-1,0,True
hsa_circ_0087862,mir-1253,1,True
circrna_5692,mir-328-5p,1,True
hsa_circ_0061825,mir-326,1,True
hsa_circ_0071589,mir-600,1,True
circptpn22,mir-19,0,True
circbirc6,mir-34a-3p,0,True
hsa_circ_0008549,mir-136-5p,1,True
hsa_circ_0057762,mir-770-5p,0,True
circ-foxm1,mir-1179,1,True
hsa_circ_0045272,mir-767-3p,0,True
hsa_circrna_101720,mir-491-5p,0,True
hsa_circ_0035483,mir-335,1,True
hsa_circ_0043949,mir-184,0,True
hsa_circ_0012129,mir-661,1,True
circ-foxp1,mir-875-3p,1,True
