miRNA,disease,label,used
mir-525-5p,acne vulgaris,0,True
mir-1271,breast neoplasms,1,True
mir-135-5p,"leukemia, myeloid, acute",1,True
mir-5047,uterine cervical neoplasms,1,True
mir-150,colorectal neoplasms,1,True
sa-mir-940,chronic thromboembolic pulmonary hypertension,1,True
mir-485-5p,"epilepsy, temporal lobe",1,True
mir-615-5p,vascular endothelial dysfunction,1,True
mir-6783-3p,glioblastoma,1,True
mir-373-3p,"diabetes, gestational",0,True
mir-452-5p,"carcinoma, hepatocellular",1,True
mir-200c,laryngeal neoplasms,1,True
mir-30b,essential hypertension,0,True
mir-484,diabetic nephropathies,0,True
mir-490-3p,esophageal squamous cell carcinoma,1,True
mir-615-5p,precursor t-cell lymphoblastic leukemia-lymphoma,1,True
mir-23a-3p,squamous cell carcinoma of head and neck,1,True
mir-98,"osteoporosis, postmenopausal",1,True
mir-488-3p,hirschsprung disease,1,True
mir-1247-5p,cutaneous squamous cell carcinoma,1,True
mir-193a-3p,prostatic neoplasms,1,True
mir-1273a,colonic neoplasms,1,True
mirna-204,"leukemia, myeloid, acute",0,True
mir-181,"carcinoma, hepatocellular",1,True
mir-30c-2-3p,breast neoplasms,1,True
mir-1244,osteosarcoma,1,True
mir-200b,breast neoplasms,1,True
mir-516b,colorectal neoplasms,1,True
mir-608,"thyroid cancer, papillary",1,True
mir-29b-3p,breast neoplasms,1,True
mir-138-5p,glioblastoma,1,True
mir-200b-3p,"carcinoma, non-small-cell lung",1,True
mir-141-5p,triple negative breast neoplasms,1,True
ube2a,t2dm with depression,0,True
mir-19b-3p,rectal neoplasms,1,True
mir-424,osteosarcoma,1,True
mir-34a-5p,urinary bladder neoplasms,1,True
mir-515-5p,urinary bladder neoplasms,1,True
mir-337-3p,uterine cervical neoplasms,1,True
mir-510-5p,squamous cell carcinoma of head and neck,1,True
mir-516a-5p,"carcinoma, hepatocellular",1,True
mir-20a-5p,"leukemia, myeloid, acute",1,True
mir-4769-5p,"diabetes mellitus, type 2",0,True
mir-1205,glioma,1,True
mir-222,endometrial neoplasms,0,True
mir-186,lung squamous cell carcinoma,1,True
